Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
1970,BHAVNAGAR DISTRICT CO-OPERATIVE BANK LTD,6924,308285.57,10015,March,2024,Mobile Banking
1971,BHILWARA URBAN COOPERATIVE BANK LTD,24380,94774.08,688,March,2024,Mobile Banking
1972,BOMBAY MERCANTILE CO-OPERATIVE BANK LIMITED,353493,1313487.34,1489,March,2024,Mobile Banking
1973,C G RAJYA SAHAKARI BANK (MYDT),116183,708930.88,3168,March,2024,Mobile Banking
1974,CANARA BANK,572206456,1491334737,1769650,March,2024,Mobile Banking
1975,CAPITAL SMALL FINANCE BANK LIMITED,1268992,8136131.13,19954,March,2024,Mobile Banking
1976,CATHOLIC SYRIAN BANK LIMITED,7229254,19238958.42,54291,March,2024,Mobile Banking
1977,CENTRAL BANK OF INDIA,197719450,472531387.4,422834,March,2024,Mobile Banking
1978,CHAITANYA GODAVARI GRAMEENA BANK,5838585,8270349.55,211471,March,2024,Mobile Banking
1979,CHIKKAMAGALURU DISTRICT CENTRAL CO-OP BANK LTD.,934,16016.66,152,March,2024,Mobile Banking
1980,CITIZENCREDIT CO-OP. BANK LTD.,251996,475389.41,6086,March,2024,Mobile Banking
1981,"CITIZENS CO-OPERATIVE BANK LTD., RAJKOT",9307,964822.55,626,March,2024,Mobile Banking
1982,CITY UNION BANK,59425641,128104471.6,237870,March,2024,Mobile Banking
1983,COASTAL LOCAL AREA BANK LTD,8232,425901.4,1729,March,2024,Mobile Banking
1984,COL RD NIKAM SAINIK SAHAKARI BANK LTD.,90,624.81,52,March,2024,Mobile Banking
1985,CONTAI CO-OPERATIVE BANK LTD.,1363,44873.38,369,March,2024,Mobile Banking
1986,DAKSHIN BIHAR GRAMIN BANK,51597,1443003.16,28284,March,2024,Mobile Banking
1987,DAUSA URBAN COOPERATIVE BANK LTD,12183,282134.18,373,March,2024,Mobile Banking
1988,DBS BANK LIMITED,25970353,60151175.99,693572,March,2024,Mobile Banking
1989,DCB BANK LTD.,6085513,31790168.75,82860,March,2024,Mobile Banking
1990,DCCB Srikakulam,1330,26164.66,874,March,2024,Mobile Banking
1991,DEENDAYAL NAGARI SAHKARI BANK LTD ;AMBAJOGAI,1451,58817.45,1396,March,2024,Mobile Banking
1992,DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD,17815,491313.08,1988,March,2024,Mobile Banking
1993,DEUTSCHE BANK,796291,4426622.34,33618,March,2024,Mobile Banking
1994,DHANERA MERCANTILE CO-OPERATIVE BANK LTD.,9140,1279788.45,831,March,2024,Mobile Banking
1995,DHANLAXMI BANK LIMITED,100063,4050288.08,34429,March,2024,Mobile Banking
1996,DINDIGUL CENTRAL COOPERATIVE BANK LTD,200,843.78,101,March,2024,Mobile Banking
1997,DMK JAOLI BANK LTD,12971,201056.53,2729,March,2024,Mobile Banking
1998,DOHA BANK QPSC,2007,89887.36,1482,March,2024,Mobile Banking
1999,DOMBIVLI NAGARI SAHAKARI BANK LTD.,3885546,16753852.01,718,March,2024,Mobile Banking
2000,DURGAPUR STEEL PEOPLES' CO-OP. BANK LTD.,3188,41074.45,1003,March,2024,Mobile Banking
2001,EQUITAS SMALL FINANCE BANK LIMITED,335518,17220592.55,84048,March,2024,Mobile Banking
2002,ESAF SMALL FINANCE BANK,200927,5160957.75,44911,March,2024,Mobile Banking
2003,FEDERAL BANK LTD.,15889734,180861309.4,1638363,March,2024,Mobile Banking
2004,FINCARE SMALL FINANCE BANK,396331,8636652.75,227076,March,2024,Mobile Banking
2005,FINGROWTH CO-OPERATIVE BANK LTD.,15867,1407609.23,6488,March,2024,Mobile Banking
2006,FINO PAYMENTS BANK,117790861,59130186.86,3499003,March,2024,Mobile Banking
2007,G S MAHANAGAR CO-OP. BANK LTD.,94046,1230306.75,5384,March,2024,Mobile Banking
2008,G.P. PARSIK JANATA SAHAKARI BANK LTD.,4282990,7442254.77,3388,March,2024,Mobile Banking
2009,"GODAVARI URABN CO.OPERATIVE BANK LTD,NASHIK",331,12424.98,62,March,2024,Mobile Banking
2010,GUARDIAN SOUHARDA SAHAKARI BANK NIYAMITA ,1887,25256.4,1703,March,2024,Mobile Banking
2011,GUJARAT AMBUJA CO-OP BANK LTD,9858,220201.93,255,March,2024,Mobile Banking
2012,HDFC BANK LTD.,1154119908,3803437356,18550299,March,2024,Mobile Banking
2013,HIMACHAL PRADESH GRAMIN BANK,106302,17732781.26,51280,March,2024,Mobile Banking
2014,HIMATNAGAR NAGRIK SAHKARI BANK LTD,3500,555170.43,2561,March,2024,Mobile Banking
2015,HOOGHLY DISTRICT CENTRAL CO OPERATIVE BANK LTD,156,1009.08,145,March,2024,Mobile Banking
2016,HSBC ,9268839,47365807,171742,March,2024,Mobile Banking
2017,"HUTATMA SAHKARI BANK LTD., WALWA",2478,44613.3,340,March,2024,Mobile Banking
2018,ICICI BANK LTD,594066812,3277551693,16544626,March,2024,Mobile Banking
2019,IDBI BANK LTD,143869087,357552188.2,426099,March,2024,Mobile Banking
2020,IDFC FIRST BANK LTD.,86583038,458467430.7,1411497,March,2024,Mobile Banking
2021,INCOME TAX DEPARTMENT CO OP BANK LTD,852,10777.05,319,March,2024,Mobile Banking
2022,INDIA POST PAYMENTS BANK LIMITED,15918056,30967572.07,1699785,March,2024,Mobile Banking
2023,INDIAN BANK,384177796,652466421.2,1706441,March,2024,Mobile Banking
2024,INDIAN OVERSEAS BANK,294370906,561707664.2,208682,March,2024,Mobile Banking
2025,INDORE CLOTH MARKET CO-OP. BANK LTD. ,4090,150198.5,682,March,2024,Mobile Banking
2026,INDORE PARASPAR SAHAKARI BANK LTD INDORE,19920,55253.28,1595,March,2024,Mobile Banking
2027,INDRAPRASTHA SEHKARI BANK LTD,2926,198388.1,381,March,2024,Mobile Banking
2028,INDRAYANI COPERATIVE BANK ,679,15005.16,145,March,2024,Mobile Banking
2029,INDUSIND BANK LTD,139839878,783965379.9,999127,March,2024,Mobile Banking
2030,J & K GRAMEEN BANK,1975433,4329038.49,107148,March,2024,Mobile Banking
2031,J&K STATE CO-OPERATIVE BANK,6150,121160.38,2353,March,2024,Mobile Banking
2032,"JALGAON JANATA SAHAKARI BANK LTD., JALGAON",1087917,2897596.29,4621,March,2024,Mobile Banking
2033,"JALNA MERCHANTS CO OP BANK LTD., JALNA.",302435,757721.84,3002,March,2024,Mobile Banking
2034,JALORE NAGRIK SAHAKARI BANK LTD,2521,73462.75,410,March,2024,Mobile Banking
2035,JAMIA COOPERATIVE BANK LTD,3152,25073.96,455,March,2024,Mobile Banking
2036,JANA SMALL FINANCE BANK LIMITED,182189,6273810.95,287564,March,2024,Mobile Banking
2037,JANAKALYAN SAHAKARI BANK LTD.,36723,957928.99,5654,March,2024,Mobile Banking
2038,Janaseva Sahakari Bank Ltd. Pune,15058,450720.13,2511,March,2024,Mobile Banking
2039,JANATA CO OPERATIVE BANK LTD.MALEGAON,997,28917.15,550,March,2024,Mobile Banking
2040,"JANATA SAHAKARI BANK LTD, AJARA",738,25509.74,107,March,2024,Mobile Banking
2041,JANATHA SEVA BANK ,1909,49440.24,3627,March,2024,Mobile Banking
2042,JANTA SAHAKARI BANK PUNE,4527699,6253907.6,41409,March,2024,Mobile Banking
2043,JIJAMATA MAHILA SAH BANK LTD PUNE,120308,178848.71,234,March,2024,Mobile Banking
2044,JILA SAHAKARI KENDRIYA BANK MARYADIT DURG,414321,1104084.9,4465,March,2024,Mobile Banking
2045,JILA SAHAKARI KENDRIYA BANK MARYADIT JAGDALPUR,3116,63178.76,1490,March,2024,Mobile Banking
2046,JILA SAHAKARI KENDRIYA BANK MARYADIT KHARGONE,4844,272856.24,1068,March,2024,Mobile Banking
2047,JILA SAHAKARI KENDRIYA BANK MYDT RAIPUR C.G.,7330,236783.03,2720,March,2024,Mobile Banking
2048,JIO PAYMENTS BANK LIMITED           ,10018681,7827932.32,43244,March,2024,Mobile Banking
2049,JIVAN COMMERCIAL CO-OPERATIVE BANK LIMITED,7067,315826.71,439,March,2024,Mobile Banking
2050,JODHPUR NAGRIK SAHAKARI BANK LTD.,20311,267646.41,2090,March,2024,Mobile Banking
2051,JOGINDRA CENTRAL COOPERATIVE BANK LTD. SOLAN H.P.,2766,88597.92,1218,March,2024,Mobile Banking
2052,Jugalkishor Tapdiya Shree Mnahesh UCBN Ltd Aurangabad ,116,2244.75,100,March,2024,Mobile Banking
2053,"KALLAPPANNA AWADE ICHALKARANJI JANATA SAH. BANK LTD., ICHALKARANJI",1015146,3237514.76,35167,March,2024,Mobile Banking
2054,KANKARIA MANINAGAR NAGRIK SAHAKARI BANK LTD.,57345,324422.33,3527,March,2024,Mobile Banking
2055,KANYAKUMARI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,130,668.86,46,March,2024,Mobile Banking
2056,"KARNATAK CENTRAL CO-OP BANK LTD, DHARWAD",1718,76225.24,604,March,2024,Mobile Banking
2057,KARNATAKA BANK LTD,3504270,63973003.47,522229,March,2024,Mobile Banking
2058,KARNATAKA VIKAS GRAMEEN BANK ,11755537,13546904.45,215202,March,2024,Mobile Banking
2059,KARUR VYSYA BANK LTD,63532956,226647974.6,321601,March,2024,Mobile Banking
2060,KERALA GRAMIN BANK ,54061462,69061998.79,17925,March,2024,Mobile Banking
2061,KERALA STATE CO-OPERATIVE BANK LTD.,123329,6056870.26,32515,March,2024,Mobile Banking
2062,Khardah Co-Operative Bank Ltd. ,187,3232.63,240,March,2024,Mobile Banking
2063,KOILKUNTLA CO OPERATIVE BANK PVT LTD,201,3523.28,89,March,2024,Mobile Banking
2064,KOKAN MERCANTILE CO-OP BANK LTD,16310,367693.19,2371,March,2024,Mobile Banking
2065,KOLHAPUR MAHILA SAHAKARI BANK LTD,1039,46696.81,779,March,2024,Mobile Banking
2066,KOPARGAON PEOPLES CO OP BANK LTD,9472,71434.81,538,March,2024,Mobile Banking
2067,KOTA NAGRIK SAHKARI BANK LTD,328,8813.17,219,March,2024,Mobile Banking
2068,KOTAK MAHINDRA BANK LTD,653939075,1548202443,17725714,March,2024,Mobile Banking
2069,"KOYANA SAHAKARI BANK LTD., KARAD",19090,30249.83,18,March,2024,Mobile Banking
2070,KRISHNA BHIMA SAMRUDDHI LOCAL AREA BANK,3181,64132.66,1239,March,2024,Mobile Banking
2071,"L.I.C. Employees' Co-Operative Bank Ltd.,Udupi",298,4673.11,932,March,2024,Mobile Banking
2072,LAKHIMPUR URBAN CO-OP.BANK LTD.,3703,30604.23,723,March,2024,Mobile Banking
2073,"LATUR URBAN CO-OP. BANK LTD., LATUR",53061,1736343.18,2642,March,2024,Mobile Banking
2074,LAXMI URBAN CO-OP BANK LTD LATUR,35065,186738.39,1094,March,2024,Mobile Banking
2075,"LOKNETE DATTAJI PATIL SAHKARI BANK LTD,LASALGAON ",524,5177.86,136,March,2024,Mobile Banking
2076,LOKVIKAS NAGARI SAHAKARI BANK LTD. AURANGABAD,33744,42366.62,807,March,2024,Mobile Banking
2077,LONAVALA SAHAKARI BANK LTD,1911,47498.47,317,March,2024,Mobile Banking
2078,M S CO-OPERATIVE BANK LIMITED ,3185,108942.32,566,March,2024,Mobile Banking
2079,MADURAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,298,2766.7,208,March,2024,Mobile Banking
2080,MAHALAKSHMI CO-OPERATIVE BANK LTD UDUPI,1073,14484.64,272,March,2024,Mobile Banking
2081,MAHANAGAR NAGRIK SAHAKARI BANK MYDT.,649,39276.59,89,March,2024,Mobile Banking
2082,MAHARASHTRA GRAMIN BANK,95566,935364.72,25933,March,2024,Mobile Banking
2083,"MAHESH SAHAKARI BANK LTD., PUNE",8627,107449.68,10224,March,2024,Mobile Banking
2084,MAHESH URBAN CO-OP. BANK LTD; PARBHANI,4365,377304.75,392,March,2024,Mobile Banking
2085,MAHILA NAGRIK SAHAKARI BANK MARYADIT MAHASAMUND  C.G.,5814,9303.81,4,March,2024,Mobile Banking
2086,MAKARPURA INDUSTRIAL ESTATE COOP BANK LTD.,518,146864.68,537,March,2024,Mobile Banking
2087,MANIPUR RURAL BANK ,395517,60128.68,471,March,2024,Mobile Banking
2088,"MANN DESHI MAHILA SAHAKARI BANK LTD., MHASWAD",130830,138817.04,1518,March,2024,Mobile Banking
2089,"MANSING CO-OP. BANK LTD., DUDHONDI",274,6182.17,48,March,2024,Mobile Banking
2090,MANVI PATTANA SOUHARDA SAHAKARI BANK NI.,1903,94054.58,264,March,2024,Mobile Banking
2091,"MARATHA CO-OPERATIVE BANK LTD., BELGAUM",1598,53169.09,195,March,2024,Mobile Banking
2092,MEGHALAYA RURAL BANK,952415,1332782.26,3369,March,2024,Mobile Banking
2093,MEHSANA URBAN CO-OP. BANK LIMITED,1470056,3566.57,78651,March,2024,Mobile Banking
2094,MERCHANTS CO OPERATIVE BANK LTD TIPTUR,68,1884.96,18,March,2024,Mobile Banking
2095,MODEL CO-OP. BANK LTD.,14774,279466.22,3123,March,2024,Mobile Banking
2096,Mugberia Central Cooperative Bank Limited,2085,57435.36,2059,March,2024,Mobile Banking
2097,NADIA DISTRICT CENTRAL COOPERATIVE BANK LTD,1866,6394.89,136,March,2024,Mobile Banking
2098,NAGARIK SAHAKARI BANK MARYADIT DURG,113,1314.12,181,March,2024,Mobile Banking
2099,NAGRIK SAHAKARI BANK MYDT VIDISHA ,749,22357.26,93,March,2024,Mobile Banking
2100,NAGRIK SAHKARI BANK MARYADIT GWALIOR,706,8459.4,176,March,2024,Mobile Banking
2101,"NANDANI SAHAKARI BANK LTD, NANDANI",75334,191365.62,92,March,2024,Mobile Banking
2102,Nashik Zilla Sarkari & Parishad Karmachari Sahakari Bank Niyamit. Nashik,42,502.4,370,March,2024,Mobile Banking
2103,NAV JEEVAN CO-OP. BANK LTD.,4790,378502.68,984,March,2024,Mobile Banking
2104,NAVANAGARA URBAN CO OP BANK LTD,1214,22365.12,343,March,2024,Mobile Banking
2105,NAVI MUMBAI CO-OP BANK LTD,5654,107792.29,5743,March,2024,Mobile Banking
2106,NAVSARJAN INDL CO-OP BANK LTD,9142,58536.97,169,March,2024,Mobile Banking
2107,NEW INDIA CO-OPERATIVE BANK LTD.,20043,466149.52,1926,March,2024,Mobile Banking
2108,NIDHI CO-OP. BANK LTD.,3894,202816.33,1614,March,2024,Mobile Banking
2109,NKGSB CO-OPERATIVE BANK LIMITED,93763,1774715.08,6892,March,2024,Mobile Banking
2110,NORTH EAST SMALL FINANCE BANK LIMITED,17203,347351.26,4070,March,2024,Mobile Banking
2111,NSDL PAYMENTS BANK,11369588,9913872.58,266908,March,2024,Mobile Banking
2112,NUTAN NAGRIK SAHAKARI BANK LTD,307974,4497817.1,17585,March,2024,Mobile Banking
2113,"Omprakash Deora Peoples Co Op Bank Ltd.,Hingoli",2704,196692.54,485,March,2024,Mobile Banking
2114,PALI URBAN CO OPERATIVE BANK LTD.PALI (RAJASTHAN),5254,360374.84,1853,March,2024,Mobile Banking
2115,"PALUS SAHAKARI BANK LTD., PALUS",141326,439715.41,1408,March,2024,Mobile Banking
2116,PATAN NAGARIK SAHAKARI BANK LTD,4503,241088.68,315,March,2024,Mobile Banking
2117,PAVANA SAHAKARI BANK LTD.,4059,70225.23,9886,March,2024,Mobile Banking
2118,PAYTM PAYMENTS BANK LIMITED,89162567,98496703.99,11141874,March,2024,Mobile Banking
2119,PEOPLES CO OP BANK LTD DHOLKA,1144,115693.98,589,March,2024,Mobile Banking
2120,PEOPLE'S URBAN CO-OPERATIVE BANK LTD. TRIPUNITHURA.,28061,64839.66,447,March,2024,Mobile Banking
2121,POCHAMPALLY CO-OPERATIVE URBAN BANK LTD,409436,1307074.39,13215,March,2024,Mobile Banking
2122,"POORNAWADI NAGRIK SAH. BANK M., BEED",240583,746989.98,8753,March,2024,Mobile Banking
2123,PORBANDAR COMMERCIAL CO OP BANK LTD,1720,224438.24,177,March,2024,Mobile Banking
2124,PRAGATI SAHAKARI BANK LTD.VADODARA,5333,389405,2453,March,2024,Mobile Banking
2125,"Prarthmik Shikshak Sahakari Bank Ltd, Satara",1543,10129.81,629,March,2024,Mobile Banking
2126,PRERANA CO OP BANK LTD.,12740,525223.72,7185,March,2024,Mobile Banking
2127,PRIME CO-OP. BANK LTD.,359306,5756422.75,1817,March,2024,Mobile Banking
2128,"PRIYADARSHANI NAGARI SAHAKARI BANK LTD., JALNA",418919,798105.12,4356,March,2024,Mobile Banking
2129,PROGRESSIVE MERCANTILE CO OP BANK LTD,1585,104607.23,331,March,2024,Mobile Banking
2130,Puduvai Bharathiar Grama Bank,3,5,55,March,2024,Mobile Banking
2131,PUNE CANTONMENT SAHAKARI BANK LTD.,223657,310316.31,10074,March,2024,Mobile Banking
2132,PUNE PEOPLE'S CO OP BANK LTD,15919,2767901.12,14883,March,2024,Mobile Banking
2133,PUNJAB & SIND BANK,259176,4353828.87,51757,March,2024,Mobile Banking
2134,PUNJAB NATIONAL BANK,714430951,1217756266,1404221,March,2024,Mobile Banking
2135,PUSAD URBAN BANK,1159,15030.65,426,March,2024,Mobile Banking
2136,RAJADHANI CO-OP URBAN BANK LTD,42906,83484.45,38,March,2024,Mobile Banking
2137,RAJAPUR URBAN CO-OP. BANK LTD.,645,13818.61,92,March,2024,Mobile Banking
2138,RAJARAMBAPU SAHAKARI BANK LTD; PETH,313368,1117830.62,11307,March,2024,Mobile Banking
2139,RAJASTHAN MARUDHARA GRAMIN BANK,215217,8840278.23,44773,March,2024,Mobile Banking
2140,RAJGURUNAGAR SAHAKARI BANK LTD.,40819,1612722.96,26951,March,2024,Mobile Banking
2141,RAJKOT NAGARIK SAHAKARI BANK LTD.,1694623,5971953.85,91661,March,2024,Mobile Banking
2142,RAJKOT PEOPLES CO-OPERATIVE BANK LTD.,34017,896745.91,790,March,2024,Mobile Banking
2143,RAMANATHAPURAM DCC BANK,298,2119.5,139,March,2024,Mobile Banking
2144,"Ramrajya Sahakari Bank Ltd, Pune",794,7437.98,180,March,2024,Mobile Banking
2145,"RANI CHANNAMMA MAHILA SAHAKARI BANK NIYAMIT, BELAGAVI",59317,131036.66,1900,March,2024,Mobile Banking
2146,"RATNAGIRI DISTRICT CENTRAL COOPERATIVE BANK LTD., RATNAGIRI",58627,116109.61,3350,March,2024,Mobile Banking
2147,RBL BANK LIMITED,40355750,97067093.56,172749,March,2024,Mobile Banking
2148,"SADALGA URBAN SOUHARDA SAHAKARI BANK NIYAMIT.,SADALGA",259,3829.82,64,March,2024,Mobile Banking
2149,SADHANA SAHAKARI BANK LTD.,6770,181060.43,999,March,2024,Mobile Banking
2150,"SAMARTH SAHAKARI BANK LTD., SOLAPUR",739519,962718.67,808,March,2024,Mobile Banking
2151,"SAMARTH SAHAKARI BANK MARYADIT,JALNA.",127029,279399.47,1047,March,2024,Mobile Banking
2152,SAMATA COOPERATIVE DEVELOPMENT BANK LTD,364,4849.76,103,March,2024,Mobile Banking
2153,SAMPADA SAHAKARI BANK LTD PUNE,150677,210783.29,1436,March,2024,Mobile Banking
2154,"SAMRUDDHI CO-OP. BANK LTD., NAGPUR",280,3546.6,95,March,2024,Mobile Banking
2155,SANDIUR PATTANA SOUHARDA SAHAKARI BANK NI.,32157,103130.44,1612,March,2024,Mobile Banking
2156,SANMITRA MAHILA NAGARI SAHAKARI BANK MARYADIT ,1010,43532.39,186,March,2024,Mobile Banking
2157,"SANT SOPANKAKA SAHAKARI BANK LTD.,SASWAD.",8881,758388.25,1486,March,2024,Mobile Banking
2158,Saptagiri Grameena Bank,38,97.84,1830,March,2024,Mobile Banking
2159,SARASPUR NAGARI CO-OP. BANK LTD.,18118,1333660.66,2117,March,2024,Mobile Banking
2160,SARASWAT CO-OP. BANK LTD,23623632,50465311.38,412484,March,2024,Mobile Banking
2161,SARDAR BHILADWALA PARDI PEOPLES CO-OPERATIVE BANK LTD.,128627,870193.23,1257,March,2024,Mobile Banking
2162,SARDAR SINGH NAGRIK SAHKARI BANK MYDT TIKAMGARH,1203,65895.36,179,March,2024,Mobile Banking
2163,SARDAR VALLABHBHAHI SAHAKARI BANK LTD,16464,400072.15,399,March,2024,Mobile Banking
2164,"SARDARGUNJ MERCANTILE CO-OPERATIVE BANK LTD., ANAND",6838,313223.38,889,March,2024,Mobile Banking
2165,SARVA HARYANA GRAMIN BANK,41627,1147393.44,7502,March,2024,Mobile Banking
2166,SARVODAYA COMMERCIAL CO-OPERATIVE BANK LTD MEHSANA,291089,2493316.72,2132,March,2024,Mobile Banking
2167,SARVODAYA NAGARIK SAHAKARI BANK LTD. HIMATNAGAR,4073,376699.65,3724,March,2024,Mobile Banking
2168,SAURASHTRA GRAMIN BANK,53117,2406330.68,13004,March,2024,Mobile Banking
2169,SBM BANK INDIA LTD,5713464,7781133.73,6014,March,2024,Mobile Banking
2170,SHARAD SAHAKARI BANK LTD MANCHAR,21447,658949.64,2131,March,2024,Mobile Banking
2171,SHINHAN BANK,29877,1247880.7,2466,March,2024,Mobile Banking
2172,SHIVALIK SMALL FINANCE BANK,32213,1700702.05,3489,March,2024,Mobile Banking
2173,SHRAMIK NAGRIK SAHAKARI BAN KLTD INDORE,325,990.62,71,March,2024,Mobile Banking
2174,"SHREE BASAVESHWAR URBAN CO OPERATIVE BANK LTD.,RANEBENNUR",49,1021.56,64,March,2024,Mobile Banking
2175,SHREE DHARATI CO-OPERATIVE BANK LTD.,20576,219472.76,1688,March,2024,Mobile Banking
2176,SHREE KADI NAGARIK SAHAKARI BANK LTD.,6995,4058817.97,1061,March,2024,Mobile Banking
2177,SHREE MAHAVIR SAHAKARI BANK LTD JALGAON,90588,119830.08,75,March,2024,Mobile Banking
2178,SHREE MAHESH CO-OP BANK LTD NASHIK,1540,76673.78,246,March,2024,Mobile Banking
2179,SHREE MAHUVA NAGRIK SAHAKARI BANK LTD.,1382,135800.98,154,March,2024,Mobile Banking
2180,SHREE PANCHGANGA NAGARI SAHAKARI BANK LTD. KOLHAPUR,2000,83412.87,416,March,2024,Mobile Banking
2181,SHREE TALAJA NAGRIK SHAKARI BANK LTD.,927,81729.63,126,March,2024,Mobile Banking
2182,SHREE VARDHAMAN SAHAKARI BANK LTD VADODARA,1206,105303.64,691,March,2024,Mobile Banking
2183,"SHREE WARANA SAHAKARI BANK LTD, WARANANAGAR",4377,269076.13,4949,March,2024,Mobile Banking
2184,"SHRI ADINATH CO-OP. BANK LTD., ICHALKARANJI",222,7342.14,54,March,2024,Mobile Banking
2185,SHRI ANAND NAGARI SAHAKARI BANK LTD.,348,2985.35,1112,March,2024,Mobile Banking
2186,SHRI ARIHANT CO-OP BANK LTD,16088,435055.26,1697,March,2024,Mobile Banking
2187,SHRI CHHANI NAGRIK SAHAKARI BANK LTD,222,19980.91,36,March,2024,Mobile Banking
2188,"SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP. BANK LTD., BEED",1010348,3986329.26,3542,March,2024,Mobile Banking
2189,SHRI GAJANAN NAGARI SAHAKARI BANK LTD.,68,1908.96,132,March,2024,Mobile Banking
2190,SHRI JANATA SAHAKARI BANK LTD HALOL,21980,234562.4,1342,March,2024,Mobile Banking
2191,"SHRI MAHALAXMI CO-OP. BANK LTD., KOLHAPUR",2381,23542.54,479,March,2024,Mobile Banking
2192,SHRI MAHILA SEWA SAHAKARI BANK LTD.,377,2735.38,197,March,2024,Mobile Banking
2193,SHRI RAJKOT DISTRICT CENTRAL CO-OP BANK LTD.,28837,1278556.12,5171,March,2024,Mobile Banking
2194,"SHRI SHIVAYOGI MURUGHENDRA SWAMI URBANCO-OP. BANK LTD., ATHANI",13,1419.91,34,March,2024,Mobile Banking
2195,SHRI SHIVESHWAR NAGARI SAHAKARI BANK LTD; BASMATHNAGAR,2580,349255.6,361,March,2024,Mobile Banking
2196,SHRI SWAMI SAMARTH SAHAKARI BANK LTD,1644,35960.54,241,March,2024,Mobile Banking
2197,"Shri. D. T. Patil Co-Operative Bank Ltd., Chikodi",1365,2492.47,8,March,2024,Mobile Banking
2198,"SHRIKRISHNA CO-OPERATIVE BANK LTD., UMRED",421,65847.69,122,March,2024,Mobile Banking
2199,"Shriram Urban Co-Operative Bank Ltd., Nagpur",241,4385.64,47,March,2024,Mobile Banking
2200,Sikar Kendriya Sahkari Bank Ltd.,403,5818.22,151,March,2024,Mobile Banking
2201,SIKKIM STATE CO-OPERATIVE BANK LTD,1516,25290.49,808,March,2024,Mobile Banking
2202,SINDHUDURG DISTRICT CENTRAL CO. OPERATIVE BANK LTD. SINDHUDURG,15328,219868.73,3621,March,2024,Mobile Banking
2203,SIVAGANGAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,25,93.26,41,March,2024,Mobile Banking
2204,SOUTH INDIAN BANK,54585702,165971692.1,1600470,March,2024,Mobile Banking
2205,"SPSR NDCCBANK LTD., NELLORE.",2376,59606.51,884,March,2024,Mobile Banking
2206,SREE CHARAN SOUHARDHA CO-OPERATIVE BANK LTD.,72647,64895.33,4164,March,2024,Mobile Banking
2207,SREENIDHI SOUHARDA SAHAKARI BANK NIYAMITHA,25849,63145.73,113,March,2024,Mobile Banking
2208,"SRI GANAPATHI URBAN CO-OP. BANK LTD., SAGAR",94,1036.21,39,March,2024,Mobile Banking
2209,SRI GOKARNANATH CO OPERATIVE BANK LTD,1332,5096.64,546,March,2024,Mobile Banking
2210,SRI RAMA CO-OP BANK LTD,19,411.19,359,March,2024,Mobile Banking
2211,SRI SUDHA CO-OPERATIVE BANK LTD,147,6488.39,147,March,2024,Mobile Banking
2212,STANDARD URBAN CO-OP BANK(AURANGABAD)LTD.,1061,8256.69,318,March,2024,Mobile Banking
2213,STATE BANK OF INDIA ,3444030811,6768063727,123366419,March,2024,Mobile Banking
2214,SUCO SOUHARDA SAHAKARI BANK LTD.,7804,1269492.6,1046,March,2024,Mobile Banking
2215,"SUNDARLAL SAWJI URBAN CO-OP BANK LTD., JINTUR",17010,1304352.2,2016,March,2024,Mobile Banking
2216,SURAT NATIONAL CO-OP BANK LTD.,33847,3384522.22,4104,March,2024,Mobile Banking
2217,SURYODAY SMALL FINANCE BANK LIMITED,127748,5112383.52,88840,March,2024,Mobile Banking
2218,SVC CO OP BANK LTD ,6181638,10802663.32,29118,March,2024,Mobile Banking
2219,"SWATANTRYA SENANI LATE SHRIPAL ALASE (KAKA) KURUNDWAD URBAN CO-OP BANK LTD., KURUNDWAD",74,1002.41,32,March,2024,Mobile Banking
2220,TAMIL NADU GRAMA BANK,466,1131.2,410,March,2024,Mobile Banking
2221,TAMIL NADU STATE APEX CO-OP. BANK,1351,40175.1,876,March,2024,Mobile Banking
2222,TAMILNAD MERCANTILE BANK LTD,1555064,46893029.69,238058,March,2024,Mobile Banking
2223,TAMLUK GHATAL CENTRAL CO-OPERATIVE BANK LTD.,8452,127519,3029,March,2024,Mobile Banking
2224,TEACHERS CO OPERATIVE BANK LTD,1386,32983.75,2004,March,2024,Mobile Banking
2225,TELANGANA GRAMEENA BANK,60020,1690197.86,19603,March,2024,Mobile Banking
2226,TEXTILE TRADERS COOPERATIVE BANK LIMITED,17512,566084.79,1238,March,2024,Mobile Banking
2227,THANE BHARAT SAHAKARI BANK LIMITED,19135,296611.89,3494,March,2024,Mobile Banking
2228,THE ACCOUNTANT GENERALS OFFICE EMPLOYEES CO-OPERATIVE BANK LIMITED,635,13841.73,670,March,2024,Mobile Banking
2229,"THE ADARSH CO-OP. URBAN BANK LTD,HYDERABAD",9324,423447.65,1086,March,2024,Mobile Banking
2230,"THE ADILABAD DIST. COOP. CENTRAL BANK LTD., ADILABAD",2204,53698.06,519,March,2024,Mobile Banking
2231,THE ADINATH CO-OPERATIVE BANK LTD.,2571,105511.13,405,March,2024,Mobile Banking
2232,THE AHMEDABAD DISTRICT CO-OPERATIVE BANK LTD,1227861,4676243.42,2734,March,2024,Mobile Banking
